Student,Topic,Top_Num,Question,Hints,Compiles,Correct,Start,Finish
,Arrays,9,1,3,0,0,2016-04-11  01:24:58.62,2016-04-11  01:25:10.76
,Arrays,9,2,0,2,1,2016-04-11  01:25:10.76,2016-04-11  01:29:02.27
,Arrays,9,3,1,0,1,2016-04-11  01:29:02.27,2016-04-11  01:46:00.67
,Arrays,9,4,5,2,0,2016-04-11  01:46:00.67,2016-04-11  02:01:46.94
,Arrays,9,5,3,0,1,2016-04-11  02:01:46.94,2016-04-11  02:26:09.44
,Arrays,9,6,5,0,0,2016-04-11  02:26:09.44,2016-04-11  02:32:48.71
,Final Prep: Weeks 5-9,12,1,2,0,1,2016-04-11  02:33:57.20,2016-04-11  03:03:53.48
,Final Prep: Weeks 5-9,12,2,10,7,0,2016-04-11  03:03:53.49,2016-04-11  03:20:43.48
,Final Prep: Weeks 5-9,12,3,6,12,0,2016-04-11  03:20:43.48,2016-04-11  03:48:19.51
,Final Prep: Weeks 5-9,12,4,7,3,0,2016-04-11  03:48:19.52,2016-04-11  03:59:22.13
,Final Prep: Weeks 10-13,13,1,4,0,1,2016-04-11  03:59:22.60,2016-04-11  04:02:26.84
,Final Prep: Weeks 10-13,13,2,0,1,1,2016-04-11  04:02:26.85,2016-04-11  04:05:01.41
,Final Prep: Weeks 10-13,13,3,0,0,1,2016-04-11  04:05:01.41,2016-04-11  04:11:42.59
,Final Prep: Weeks 10-13,13,4,5,5,1,2016-04-11  04:11:42.59,2016-04-11  04:18:53.06
,More Final Review,14,1,0,6,0,2016-04-11  04:19:59.06,2016-04-11  04:27:37.07
,More Final Review,14,2,6,0,1,2016-04-11  04:27:37.07,2016-04-11  04:34:08.76
,More Final Review,14,3,8,3,0,2016-04-11  04:34:08.76,2016-04-11  04:44:57.03
,More Final Review,14,4,1,0,0,2016-04-11  04:44:57.03,2016-04-11  04:55:34.29
,More Final Review,14,5,10,3,0,2016-04-11  04:55:34.29,2016-04-11  05:03:13.98
,More Final Review,14,3,8,0,0,2016-04-11  16:30:46.95,2016-04-11  16:36:10.13
,More Final Review,14,4,3,4,0,2016-04-11  16:36:10.13,2016-04-11  16:48:36.05
,More Final Review,14,5,10,0,0,2016-04-11  16:48:36.05,2016-04-11  16:56:51.64
,More Final Review,14,6,8,2,0,2016-04-11  16:57:56.16,2016-04-11  17:04:03.13
,More Final Review,14,7,9,0,0,2016-04-11  17:04:03.13,2016-04-11  17:10:31.81
,Final Prep: Weeks 1-4,11,2,0,0,1,2016-04-11  17:10:40.38,2016-04-11  17:10:55.00
,Final Prep: Weeks 1-4,11,3,3,0,1,2016-04-11  17:10:55.00,2016-04-11  17:12:36.10
,Final Prep: Weeks 1-4,11,4,3,1,0,2016-04-11  17:12:36.10,2016-04-11  17:17:17.41
,Final Prep: Weeks 1-4,11,5,0,0,1,2016-04-11  17:17:17.41,2016-04-11  17:22:07.83
,Final Prep: Weeks 1-4,11,6,0,0,1,2016-04-11  17:22:07.83,2016-04-11  17:25:04.39
,Final Prep: Weeks 1-4,11,7,8,0,0,2016-04-11  17:25:04.39,2016-04-11  17:28:41.19
,Final Prep: Weeks 1-4,11,8,4,0,1,2016-04-11  17:28:41.19,2016-04-11  17:32:29.10
,Final Prep: Weeks 1-4,11,9,0,3,0,2016-04-11  17:32:29.10,2016-04-11  17:36:58.27
,Final Prep: Weeks 5-9,12,1,9,0,0,2016-04-11  17:36:58.48,2016-04-11  17:39:52.48
,Final Prep: Weeks 5-9,12,2,6,6,0,2016-04-11  17:39:52.48,2016-04-11  17:58:43.78
,Final Prep: Weeks 5-9,12,3,3,2,0,2016-04-11  17:58:43.78,2016-04-11  18:10:13.87
,Final Prep: Weeks 5-9,12,4,4,2,0,2016-04-11  18:10:13.87,2016-04-11  18:16:01.01
,More Final Review,14,3,7,0,0,2016-04-11  18:17:07.25,2016-04-11  18:17:18.07
,More Final Review,14,4,3,2,0,2016-04-11  18:17:18.07,2016-04-11  18:26:42.72
,More Final Review,14,5,9,2,0,2016-04-11  18:26:42.72,2016-04-11  18:32:19.39
56a6b4d9c478dbdffc71906a,61
,Print statements,1,1,0,0,1,2016-02-03  17:57:20.99,2016-02-03  17:58:11.13
,Print statements,1,2,0,0,1,2016-02-03  17:58:29.09,2016-02-03  18:01:12.84
,Print statements,1,3,0,0,1,2016-02-03  18:01:12.84,2016-02-03  18:01:59.50
,Print statements,1,4,0,0,1,2016-02-03  18:02:07.19,2016-02-03  18:03:02.12
,Print statements,1,5,0,0,1,2016-02-03  18:03:11.25,2016-02-03  18:04:57.67
,Print statements,1,7,0,0,1,2016-02-03  18:05:15.15,2016-02-03  18:07:09.03
,Syntax errors,3,1,0,2,0,2016-02-03  18:15:27.43,2016-02-03  18:16:29.04
,Syntax errors,3,2,0,2,0,2016-02-03  18:16:29.04,2016-02-03  18:17:30.10
,Syntax errors,3,3,0,1,1,2016-02-03  18:17:30.10,2016-02-03  18:18:05.78
,Syntax errors,3,4,1,3,0,2016-02-03  18:19:09.46,2016-02-03  18:21:02.09
,Syntax errors,3,5,0,2,0,2016-02-03  18:21:02.09,2016-02-03  18:22:05.76
,Syntax errors,3,6,14,1,0,2016-02-03  18:22:05.76,2016-02-03  18:27:52.91
,Strings and casting,4,1,7,0,0,2016-02-03  18:27:53.40,2016-02-03  18:48:58.53
,Strings and casting,4,2,5,0,0,2016-02-03  18:48:58.53,2016-02-03  18:51:45.36
,Strings and casting,4,3,1,0,0,2016-02-03  18:52:37.45,2016-02-03  18:54:44.74
,Strings and casting,4,4,0,0,1,2016-02-03  18:55:30.64,2016-02-03  18:55:43.20
,Strings and casting,4,5,2,0,0,2016-02-03  18:55:43.20,2016-02-03  18:57:43.30
,For-loops - code writing,5,1,0,1,1,2016-02-03  19:00:44.46,2016-02-03  20:55:54.54
,For-loops - code writing,5,2,0,2,1,2016-02-03  20:55:54.54,2016-02-03  20:57:42.53
,For-loops - code writing,5,3,15,4,0,2016-02-03  20:57:42.53,2016-02-03  21:25:01.65
,For-loops - code writing,5,6,0,2,0,2016-02-04  04:39:35.51,2016-02-04  04:48:48.55
,For-loops - code writing,5,7,7,6,0,2016-02-04  04:48:48.55,2016-02-04  04:54:41.57
,For-loops - code writing,5,8,10,0,0,2016-02-04  04:54:41.57,2016-02-04  04:55:19.74
,Writing code: methods and for-loops,8,3,0,1,0,2016-02-04  04:57:51.15,2016-02-04  05:04:30.23
,Writing code: methods and for-loops,8,4,11,0,0,2016-02-04  05:05:22.77,2016-02-04  05:11:42.69
,Writing code: methods and for-loops,8,4,0,7,0,2016-02-04  05:12:16.78,2016-02-04  05:24:12.42
,Writing code: methods and for-loops,8,5,0,3,0,2016-02-04  05:24:12.42,2016-02-04  05:32:48.40
,Arrays,9,8,18,0,1,2016-03-02  20:40:08.26,2016-03-02  20:50:58.09
,I/O tracing and coding,10,1,11,0,0,2016-03-03  02:26:31.04,2016-03-03  02:35:50.63
,I/O tracing and coding,10,1,0,7,0,2016-03-03  02:42:59.75,2016-03-03  02:43:02.68
,I/O tracing and coding,10,3,8,0,0,2016-03-03  02:43:05.68,2016-03-03  02:53:14.76
,I/O tracing and coding,10,1,7,0,0,2016-03-03  03:10:48.73,2016-03-03  03:19:07.43
,I/O tracing and coding,10,6,8,0,0,2016-03-03  03:19:07.43,2016-03-03  03:20:44.24
,I/O tracing and coding,10,7,7,0,1,2016-03-03  03:28:57.71,2016-03-03  03:44:21.41
,Arrays,9,1,0,0,1,2016-03-03  04:26:25.97,2016-03-03  04:31:10.98
,Arrays,9,2,0,6,0,2016-03-03  04:31:10.98,2016-03-03  04:44:25.78
,Arrays,9,3,0,0,1,2016-03-03  04:44:25.78,2016-03-03  04:50:12.41
,Arrays,9,4,15,0,0,2016-03-03  04:50:12.41,2016-03-03  05:02:29.96
,Arrays,9,6,9,0,0,2016-03-03  05:09:37.76,2016-03-03  05:14:45.79
,Final Prep: Weeks 1-4,11,1,0,0,1,2016-04-08  21:44:38.38,2016-04-08  21:45:21.90
,Final Prep: Weeks 1-4,11,2,0,0,1,2016-04-08  21:45:21.90,2016-04-08  21:49:52.96
,Final Prep: Weeks 1-4,11,3,0,0,1,2016-04-08  21:49:52.96,2016-04-08  21:52:38.75
,Final Prep: Weeks 1-4,11,4,3,0,0,2016-04-08  21:52:38.75,2016-04-08  22:00:20.68
,Final Prep: Weeks 1-4,11,5,0,0,1,2016-04-08  22:00:20.68,2016-04-08  22:07:50.10
,Final Prep: Weeks 1-4,11,6,0,0,1,2016-04-08  22:07:50.10,2016-04-08  22:16:58.28
,Final Prep: Weeks 1-4,11,7,7,1,0,2016-04-08  22:16:58.28,2016-04-08  22:46:21.76
,Final Prep: Weeks 1-4,11,8,0,0,1,2016-04-08  22:46:21.76,2016-04-08  22:49:44.61
,Final Prep: Weeks 1-4,11,9,0,1,0,2016-04-08  22:49:44.61,2016-04-08  23:07:38.62
,Final Prep: Weeks 5-9,12,1,9,0,1,2016-04-08  23:07:52.57,2016-04-08  23:34:30.57
,Final Prep: Weeks 5-9,12,2,14,6,0,2016-04-08  23:34:30.57,2016-04-08  23:53:39.40
,Final Prep: Weeks 5-9,12,3,23,3,0,2016-04-08  23:54:15.35,2016-04-09  00:14:16.78
,Final Prep: Weeks 10-13,13,1,0,0,1,2016-04-10  03:11:42.70,2016-04-10  03:19:10.83
,Final Prep: Weeks 10-13,13,2,9,2,1,2016-04-10  03:19:10.83,2016-04-10  03:38:28.50
,Final Prep: Weeks 10-13,13,3,14,0,0,2016-04-10  03:38:28.50,2016-04-10  03:41:42.48
,Final Prep: Weeks 10-13,13,4,9,2,1,2016-04-10  03:48:36.65,2016-04-10  03:59:21.48
,More Final Review,14,1,0,2,1,2016-04-10  03:59:21.85,2016-04-10  04:09:38.57
,More Final Review,14,2,13,0,0,2016-04-10  04:09:38.57,2016-04-10  04:55:54.24
,More Final Review,14,3,10,0,0,2016-04-10  04:55:54.24,2016-04-10  04:58:06.18
,More Final Review,14,4,5,0,0,2016-04-10  05:11:52.27,2016-04-10  05:18:59.06
,More Final Review,14,5,4,0,0,2016-04-10  05:27:36.09,2016-04-10  05:28:48.32
,More Final Review,14,5,11,0,0,2016-04-10  05:35:12.68,2016-04-10  05:40:47.97
56a6b4f3c478dbdffc7190a5,78
,Print statements,1,1,0,0,1,2016-02-04  03:38:53.31,2016-02-04  03:39:40.52
,Print statements,1,2,0,0,1,2016-02-04  03:39:40.52,2016-02-04  03:40:37.22
,Print statements,1,3,0,0,1,2016-02-04  03:40:37.22,2016-02-04  03:41:39.83
,Print statements,1,4,1,0,1,2016-02-04  03:41:39.84,2016-02-04  03:47:17.01
,Print statements,1,5,0,0,1,2016-02-04  03:47:17.01,2016-02-04  04:11:52.00
,Print statements,1,6,0,0,1,2016-02-04  04:11:52.00,2016-02-04  04:21:00.60
,Print statements,1,7,0,0,1,2016-02-04  04:21:00.61,2016-02-04  04:26:28.51
,For-loops - code reading,2,1,4,0,1,2016-02-04  04:26:29.62,2016-02-04  04:32:04.81
,For-loops - code reading,2,2,4,0,1,2016-02-04  04:32:04.81,2016-02-04  04:40:03.65
,For-loops - code reading,2,3,8,0,1,2016-02-04  04:40:03.65,2016-02-04  05:05:14.51
,For-loops - code reading,2,4,8,0,1,2016-02-04  05:05:14.51,2016-02-04  05:32:34.73
,Syntax errors,3,1,0,3,1,2016-02-04  05:32:35.33,2016-02-04  05:35:31.98
,Syntax errors,3,2,0,1,1,2016-02-04  05:35:31.98,2016-02-04  05:36:18.99
,Syntax errors,3,3,0,3,2,2016-02-04  05:36:18.99,2016-02-04  05:37:30.37
,Syntax errors,3,4,0,2,1,2016-02-04  05:37:30.37,2016-02-04  05:38:36.93
,For-loops - code reading,2,1,0,2,0,2016-02-04  05:40:08.78,2016-02-04  05:40:13.49
,Syntax errors,3,5,0,1,1,2016-02-04  05:40:31.04,2016-02-04  05:41:33.85
,Syntax errors,3,6,0,1,1,2016-02-04  05:41:33.85,2016-02-04  05:51:15.40
,Strings and casting,4,1,4,0,1,2016-02-04  05:51:16.26,2016-02-04  05:58:44.18
,Strings and casting,4,2,13,0,0,2016-02-04  05:58:44.18,2016-02-04  06:06:47.14
,Strings and casting,4,3,4,0,0,2016-02-04  06:06:47.14,2016-02-04  06:07:48.17
,Strings and casting,4,4,4,0,1,2016-02-04  06:07:48.17,2016-02-04  06:09:54.17
,Strings and casting,4,5,1,0,0,2016-02-04  06:09:54.17,2016-02-04  06:14:15.43
,Strings and casting,4,3,0,0,1,2016-02-04  06:15:32.97,2016-02-04  06:27:00.97
,Strings and casting,4,5,0,0,1,2016-02-04  06:27:00.97,2016-02-04  06:27:54.49
,Strings and casting,4,4,0,0,1,2016-02-04  06:27:54.49,2016-02-04  06:28:09.62
,Strings and casting,4,6,0,0,1,2016-02-04  06:28:09.62,2016-02-04  06:29:19.62
,Strings and casting,4,1,0,0,0,2016-02-04  06:29:19.62,2016-02-04  06:29:55.02
,Strings and casting,4,2,0,0,1,2016-02-04  06:36:33.57,2016-02-04  06:43:52.93
,Strings and casting,4,6,0,0,1,2016-02-04  06:43:52.93,2016-02-04  06:44:54.36
,For-loops - code writing,5,2,0,1,1,2016-02-04  08:14:14.25,2016-02-04  08:15:24.22
,For-loops - code writing,5,3,0,4,0,2016-02-04  08:15:24.22,2016-02-04  08:21:27.65
,For-loops - code writing,5,4,4,7,1,2016-02-04  08:21:27.65,2016-02-04  08:29:09.41
,For-loops - code writing,5,1,0,1,0,2016-02-04  08:40:01.89,2016-02-04  08:40:04.35
,For-loops - code writing,5,5,0,4,1,2016-02-04  08:40:04.35,2016-02-04  08:46:53.55
,For-loops - code writing,5,6,0,3,1,2016-02-04  08:46:53.55,2016-02-04  08:53:51.15
,For-loops - code writing,5,7,0,1,0,2016-02-04  08:53:51.15,2016-02-04  08:54:06.49
,Methods - code reading,6,1,0,0,1,2016-02-04  08:54:19.18,2016-02-04  08:54:56.50
,I/O tracing and coding,10,1,6,4,1,2016-03-03  04:33:38.69,2016-03-03  07:04:37.00
,I/O tracing and coding,10,1,4,0,0,2016-03-03  07:06:39.79,2016-03-03  07:07:06.68
,I/O tracing and coding,10,2,6,2,1,2016-03-03  07:07:06.68,2016-03-03  07:40:40.53
,I/O tracing and coding,10,3,6,13,1,2016-03-03  07:40:40.53,2016-03-03  08:58:21.74
,I/O tracing and coding,10,4,7,0,1,2016-03-03  08:58:21.75,2016-03-03  09:06:47.33
,I/O tracing and coding,10,5,2,0,1,2016-03-03  09:06:47.33,2016-03-03  09:15:07.99
,I/O tracing and coding,10,5,2,0,0,2016-03-03  09:15:47.31,2016-03-03  09:16:13.64
,I/O tracing and coding,10,1,0,5,0,2016-03-03  10:17:58.19,2016-03-03  10:18:02.68
,I/O tracing and coding,10,6,6,1,1,2016-03-03  10:18:02.68,2016-03-03  10:26:31.90
,I/O tracing and coding,10,7,2,0,1,2016-03-03  10:26:44.75,2016-03-03  10:54:19.91
,Arrays,9,1,0,0,1,2016-03-03  10:54:31.40,2016-03-03  11:01:16.08
,Arrays,9,4,4,0,0,2016-03-03  16:16:52.34,2016-03-03  16:24:36.72
,Arrays,9,6,5,0,0,2016-03-03  16:43:03.14,2016-03-03  16:53:58.31
,Arrays,9,7,10,5,0,2016-03-03  16:53:58.31,2016-03-03  17:08:46.77
,Arrays,9,8,2,0,1,2016-03-03  17:08:46.77,2016-03-03  17:19:35.84
,Arrays,9,9,5,0,0,2016-03-03  17:19:35.84,2016-03-03  17:22:12.82
,Final Prep: Weeks 1-4,11,1,0,0,1,2016-04-07  23:57:39.16,2016-04-07  23:58:22.51
,Final Prep: Weeks 1-4,11,2,3,0,1,2016-04-10  19:44:01.05,2016-04-10  19:52:17.22
,Final Prep: Weeks 1-4,11,3,4,0,1,2016-04-10  19:52:17.22,2016-04-10  19:53:32.95
,Final Prep: Weeks 1-4,11,4,3,1,0,2016-04-10  19:53:48.99,2016-04-10  23:34:32.52
,Final Prep: Weeks 1-4,11,5,0,0,1,2016-04-10  23:34:32.52,2016-04-10  23:39:01.00
,Final Prep: Weeks 1-4,11,6,0,0,1,2016-04-10  23:39:01.00,2016-04-10  23:44:46.92
,Final Prep: Weeks 1-4,11,7,4,2,1,2016-04-10  23:44:46.92,2016-04-11  00:11:46.63
,Final Prep: Weeks 1-4,11,1,0,0,0,2016-04-11  02:24:29.71,2016-04-11  02:24:31.04
,Final Prep: Weeks 1-4,11,8,3,0,1,2016-04-11  02:24:31.05,2016-04-11  02:47:05.20
,Final Prep: Weeks 1-4,11,9,2,9,0,2016-04-11  02:47:05.20,2016-04-11  03:07:37.23
,Final Prep: Weeks 1-4,11,9,0,0,0,2016-04-11  03:07:38.41,2016-04-11  03:07:51.21
,Final Prep: Weeks 1-4,11,9,0,1,0,2016-04-11  03:07:53.32,2016-04-11  03:08:34.66
,Final Prep: Weeks 5-9,12,1,0,0,1,2016-04-11  03:08:53.45,2016-04-11  03:50:32.67
,Final Prep: Weeks 5-9,12,2,4,0,0,2016-04-11  04:23:54.58,2016-04-11  04:29:03.20
,Final Prep: Weeks 5-9,12,2,4,5,0,2016-04-11  04:29:06.91,2016-04-11  04:38:31.38
,Final Prep: Weeks 5-9,12,3,2,1,1,2016-04-11  04:38:31.38,2016-04-11  05:04:13.19
,Final Prep: Weeks 5-9,12,4,1,2,1,2016-04-11  05:04:13.19,2016-04-11  05:42:34.26
,Final Prep: Weeks 10-13,13,1,3,0,1,2016-04-11  05:42:34.51,2016-04-11  05:49:58.43
,Final Prep: Weeks 10-13,13,2,2,0,0,2016-04-11  05:49:58.43,2016-04-11  06:02:10.37
,More Final Review,14,2,0,0,1,2016-04-11  19:28:25.02,2016-04-11  19:34:19.43
,More Final Review,14,3,6,0,0,2016-04-11  19:34:19.43,2016-04-11  19:47:15.51
,More Final Review,14,4,1,6,0,2016-04-11  19:47:15.51,2016-04-11  20:09:02.93
,More Final Review,14,5,12,0,0,2016-04-11  20:09:02.93,2016-04-11  20:14:09.74
,More Final Review,14,6,15,0,0,2016-04-11  20:14:38.01,2016-04-11  20:40:25.52
56a6b4fbc478dbdffc7190b4,169
,Print statements,1,1,0,0,1,2016-02-01  04:47:13.44,2016-02-01  04:50:20.25
,Print statements,1,2,0,0,1,2016-02-01  04:50:20.25,2016-02-01  04:53:16.83
,Print statements,1,3,0,0,1,2016-02-01  04:53:16.83,2016-02-01  04:55:31.75
,Print statements,1,4,0,0,1,2016-02-01  04:55:31.75,2016-02-01  04:56:52.95
,Print statements,1,5,0,0,1,2016-02-01  04:56:52.95,2016-02-01  05:00:29.60
,Print statements,1,6,0,0,1,2016-02-01  05:00:29.60,2016-02-01  05:00:52.16
,Print statements,1,7,0,0,1,2016-02-01  05:00:52.16,2016-02-01  05:05:32.14
,For-loops - code reading,2,1,0,0,1,2016-02-01  05:05:32.43,2016-02-01  05:09:19.85
,For-loops - code reading,2,2,6,0,1,2016-02-01  05:09:19.85,2016-02-01  05:15:47.37
,For-loops - code reading,2,3,2,0,1,2016-02-01  05:15:47.37,2016-02-01  05:22:32.87
,For-loops - code reading,2,4,9,0,1,2016-02-01  05:22:32.87,2016-02-01  05:38:18.63
,Syntax errors,3,1,0,1,1,2016-02-01  05:38:18.89,2016-02-01  05:38:59.66
,Syntax errors,3,2,0,1,1,2016-02-01  05:38:59.66,2016-02-01  05:39:29.62
,Syntax errors,3,3,0,1,1,2016-02-01  05:39:29.62,2016-02-01  05:40:37.19
,Syntax errors,3,4,0,1,1,2016-02-01  05:40:37.19,2016-02-01  05:41:32.81
,Syntax errors,3,5,0,5,0,2016-02-01  05:41:32.81,2016-02-01  05:45:22.03
,Syntax errors,3,6,0,3,1,2016-02-01  05:45:22.03,2016-02-01  05:47:17.77
,For-loops - code writing,5,1,0,1,1,2016-02-01  05:47:39.44,2016-02-01  05:48:35.24
,For-loops - code writing,5,2,0,3,1,2016-02-01  05:48:35.24,2016-02-01  05:50:46.76
,Methods - code reading,6,1,4,0,0,2016-02-02  06:20:36.09,2016-02-02  06:25:41.01
,Methods - code reading,6,2,0,0,1,2016-02-02  06:25:41.01,2016-02-02  06:26:29.17
,Methods - code reading,6,3,0,0,1,2016-02-02  06:26:29.17,2016-02-02  06:28:16.03
,Methods - code reading,6,4,0,0,1,2016-02-02  06:28:16.03,2016-02-02  06:29:13.67
,Methods - code reading,6,5,0,0,1,2016-02-02  06:29:13.67,2016-02-02  06:31:13.36
,Methods - code reading,6,6,0,0,1,2016-02-02  06:31:13.36,2016-02-02  06:33:27.89
,Strings and casting,4,1,6,0,1,2016-02-02  06:33:28.27,2016-02-02  06:34:38.38
,Print statements,1,1,0,0,1,2016-02-03  03:28:23.58,2016-02-03  03:32:01.60
,Print statements,1,2,0,0,1,2016-02-03  03:32:01.60,2016-02-03  03:32:31.00
,Print statements,1,3,0,0,1,2016-02-03  03:32:31.00,2016-02-03  03:34:19.52
,Print statements,1,4,0,0,1,2016-02-03  03:34:19.52,2016-02-03  03:34:59.59
,Print statements,1,5,8,0,1,2016-02-03  03:34:59.59,2016-02-03  03:41:14.54
,Print statements,1,6,0,0,1,2016-02-03  03:41:14.54,2016-02-03  03:41:54.15
,Print statements,1,7,0,0,1,2016-02-03  03:41:54.15,2016-02-03  03:45:19.99
,For-loops - code reading,2,1,0,0,1,2016-02-03  03:45:20.33,2016-02-03  03:49:49.79
,For-loops - code reading,2,2,0,0,1,2016-02-03  03:49:49.79,2016-02-03  03:54:31.13
,For-loops - code reading,2,3,0,0,2,2016-02-03  03:54:31.13,2016-02-03  04:06:04.32
,For-loops - code reading,2,4,0,0,1,2016-02-03  04:06:04.32,2016-02-03  04:17:46.67
,Syntax errors,3,1,0,0,1,2016-02-03  04:17:47.02,2016-02-03  04:18:01.92
,Syntax errors,3,2,0,1,1,2016-02-03  04:18:01.92,2016-02-03  04:18:35.06
,Syntax errors,3,3,0,1,1,2016-02-03  04:18:35.06,2016-02-03  04:19:36.15
,Syntax errors,3,4,0,1,1,2016-02-03  04:19:36.15,2016-02-03  04:20:57.21
,Syntax errors,3,5,0,1,1,2016-02-03  04:20:57.21,2016-02-03  04:21:46.17
,Syntax errors,3,6,5,8,1,2016-02-03  04:21:46.17,2016-02-03  04:27:15.79
,Strings and casting,4,1,0,0,1,2016-02-03  04:27:16.44,2016-02-03  04:30:55.52
,Strings and casting,4,2,0,0,1,2016-02-03  04:30:55.52,2016-02-03  04:38:28.84
,Strings and casting,4,3,1,0,1,2016-02-03  04:38:28.84,2016-02-03  04:42:22.98
,Strings and casting,4,4,0,0,1,2016-02-03  04:42:22.98,2016-02-03  04:43:06.78
,Strings and casting,4,5,0,0,1,2016-02-03  04:43:06.78,2016-02-03  05:34:14.01
,Strings and casting,4,6,0,0,1,2016-02-03  05:34:14.01,2016-02-03  05:40:13.69
,For-loops - code writing,5,1,0,2,1,2016-02-03  05:40:14.05,2016-02-03  05:43:26.15
,For-loops - code writing,5,2,0,1,1,2016-02-03  05:43:26.15,2016-02-03  05:44:48.87
,For-loops - code writing,5,3,10,30,1,2016-02-03  05:44:48.87,2016-02-03  06:03:14.04
,For-loops - code writing,5,4,0,9,1,2016-02-03  06:03:14.04,2016-02-03  06:38:45.37
,For-loops - code writing,5,5,0,16,1,2016-02-03  06:38:45.37,2016-02-03  06:49:49.89
,For-loops - code writing,5,6,2,23,1,2016-02-03  06:49:49.89,2016-02-03  07:07:55.92
,For-loops - code writing,5,7,1,22,0,2016-02-03  07:07:55.92,2016-02-03  07:21:48.01
,Methods - code reading,6,1,0,0,1,2016-02-03  22:03:24.42,2016-02-03  22:04:02.61
,Methods - code reading,6,2,0,0,1,2016-02-03  22:04:02.62,2016-02-03  22:04:46.22
,Methods - code reading,6,3,0,0,1,2016-02-03  22:04:46.22,2016-02-03  22:06:57.88
,Methods - code reading,6,4,0,0,1,2016-02-03  22:06:57.88,2016-02-03  22:07:48.59
,Methods - code reading,6,5,0,0,1,2016-02-03  22:07:48.59,2016-02-03  22:10:12.07
,Methods - code reading,6,6,0,0,1,2016-02-03  22:10:12.07,2016-02-03  22:11:12.26
,Writing code: methods and for-loops,8,1,6,6,1,2016-02-04  02:30:50.53,2016-02-04  02:36:27.20
,Writing code: methods and for-loops,8,2,0,6,1,2016-02-04  02:36:27.20,2016-02-04  02:42:43.31
,Writing code: methods and for-loops,8,3,6,2,0,2016-02-04  02:49:26.00,2016-02-04  02:54:33.69
,Writing code: methods and for-loops,8,1,4,10,0,2016-02-04  03:03:22.32,2016-02-04  03:03:24.74
,Writing code: methods and for-loops,8,4,6,3,0,2016-02-04  03:03:24.74,2016-02-04  03:05:30.99
,Writing code: methods and for-loops,8,5,0,2,1,2016-02-04  03:05:30.99,2016-02-04  03:09:34.81
,Arrays,9,1,1,0,1,2016-03-02  02:26:01.77,2016-03-02  02:30:10.65
,Arrays,9,2,7,3,0,2016-03-02  02:30:10.65,2016-03-02  04:14:29.09
,Arrays,9,3,1,0,1,2016-03-02  04:14:29.09,2016-03-02  04:27:25.51
,Arrays,9,4,6,9,0,2016-03-02  04:27:25.51,2016-03-02  04:46:38.97
,Arrays,9,5,1,0,1,2016-03-02  04:46:48.85,2016-03-02  05:25:55.83
,Arrays,9,1,0,0,1,2016-03-03  03:24:38.37,2016-03-03  03:31:12.65
,Arrays,9,2,6,2,0,2016-03-03  03:31:12.65,2016-03-03  03:40:47.97
,Arrays,9,3,0,0,1,2016-03-03  03:40:47.97,2016-03-03  03:49:16.27
,Arrays,9,4,5,7,0,2016-03-03  03:49:16.27,2016-03-03  04:09:15.91
,Arrays,9,5,0,0,1,2016-03-03  04:09:15.91,2016-03-03  04:21:23.06
,Arrays,9,6,6,0,0,2016-03-03  04:21:23.06,2016-03-03  04:40:04.36
,Arrays,9,8,4,0,0,2016-03-03  04:40:09.03,2016-03-03  04:47:08.31
,I/O tracing and coding,10,1,7,1,1,2016-03-03  04:47:27.52,2016-03-03  05:38:00.62
,I/O tracing and coding,10,2,7,1,1,2016-03-03  05:38:00.62,2016-03-03  05:42:07.24
,I/O tracing and coding,10,3,6,3,1,2016-03-03  05:42:07.24,2016-03-03  05:50:24.35
,I/O tracing and coding,10,4,0,0,1,2016-03-03  05:50:24.35,2016-03-03  05:53:59.05
,I/O tracing and coding,10,5,0,0,1,2016-03-03  05:53:59.05,2016-03-03  05:55:27.39
,I/O tracing and coding,10,6,6,5,1,2016-03-03  05:55:27.39,2016-03-03  06:09:03.13
,I/O tracing and coding,10,7,1,0,1,2016-03-03  06:09:03.13,2016-03-03  06:19:16.99
,Arrays,9,2,8,0,0,2016-03-05  22:00:06.27,2016-03-05  22:03:54.23
,Arrays,9,6,8,0,0,2016-03-05  22:04:13.06,2016-03-05  22:04:34.05
,Print statements,1,1,0,0,1,2016-04-07  23:03:56.74,2016-04-07  23:04:33.29
,Print statements,1,2,0,0,1,2016-04-07  23:04:33.29,2016-04-07  23:05:02.59
,Print statements,1,3,0,0,1,2016-04-07  23:05:02.59,2016-04-07  23:06:17.51
,Print statements,1,4,0,0,1,2016-04-07  23:06:17.51,2016-04-07  23:06:59.43
,Print statements,1,5,9,0,1,2016-04-07  23:06:59.43,2016-04-07  23:09:13.44
,Print statements,1,6,0,0,1,2016-04-07  23:09:13.44,2016-04-07  23:09:59.68
,Print statements,1,7,13,0,1,2016-04-07  23:09:59.68,2016-04-07  23:14:10.82
,For-loops - code reading,2,1,0,0,1,2016-04-07  23:14:11.05,2016-04-07  23:15:03.97
,For-loops - code reading,2,2,0,0,1,2016-04-07  23:15:03.97,2016-04-07  23:18:17.25
,For-loops - code reading,2,3,5,0,1,2016-04-07  23:18:17.25,2016-04-07  23:21:32.90
,For-loops - code reading,2,4,0,0,1,2016-04-07  23:21:32.90,2016-04-07  23:32:50.48
,Syntax errors,3,1,0,1,1,2016-04-07  23:32:50.75,2016-04-07  23:33:43.79
