Student,Topic,Top_Num,Question,Hints,Compiles,Correct,Start,Finish
,For-loops - code reading,2,3,3,0,1,2016-02-04  06:43:32.32,2016-02-04  06:52:06.97
,For-loops - code reading,2,4,8,0,1,2016-02-04  06:52:06.97,2016-02-04  07:17:07.59
,Syntax errors,3,1,0,1,1,2016-02-04  07:17:07.92,2016-02-04  07:17:38.23
,Syntax errors,3,2,0,1,1,2016-02-04  07:17:38.23,2016-02-04  07:18:27.35
,For-loops - code reading,2,1,0,2,0,2016-02-04  07:20:06.21,2016-02-04  07:20:11.88
,Syntax errors,3,1,0,1,1,2016-02-04  07:20:12.04,2016-02-04  07:20:25.59
,Syntax errors,3,2,0,1,1,2016-02-04  07:20:25.59,2016-02-04  07:20:51.66
,For-loops - code reading,2,1,3,0,0,2016-02-04  07:22:20.57,2016-02-04  07:22:26.24
,Syntax errors,3,3,0,1,1,2016-02-04  07:22:29.22,2016-02-04  07:22:43.40
,Syntax errors,3,4,0,1,0,2016-02-04  07:22:43.40,2016-02-04  07:24:11.05
,Syntax errors,3,4,0,1,1,2016-02-04  07:24:15.67,2016-02-04  07:24:33.65
,Syntax errors,3,5,0,2,1,2016-02-04  07:24:33.65,2016-02-04  07:25:52.33
,Syntax errors,3,6,0,4,1,2016-02-04  07:25:52.33,2016-02-04  07:30:30.74
,For-loops - code writing,5,1,0,1,1,2016-02-04  07:31:44.84,2016-02-04  07:32:45.61
,For-loops - code writing,5,2,0,3,1,2016-02-04  07:32:45.61,2016-02-04  07:34:35.21
,For-loops - code reading,2,1,0,2,0,2016-02-04  07:36:23.66,2016-02-04  07:36:27.19
,For-loops - code writing,5,4,0,2,0,2016-02-04  07:36:30.29,2016-02-04  07:37:42.95
,For-loops - code writing,5,1,15,31,0,2016-02-04  08:28:54.64,2016-02-04  08:30:40.62
56a6b529c478dbdffc719113,50
,Print statements,1,1,0,0,1,2016-02-04  01:16:18.74,2016-02-04  01:17:23.27
,Print statements,1,2,3,0,1,2016-02-04  01:17:23.27,2016-02-04  01:25:43.33
,Print statements,1,2,1,0,1,2016-02-04  01:25:52.84,2016-02-04  01:26:25.18
,Print statements,1,3,0,0,1,2016-02-04  01:26:25.18,2016-02-04  01:27:22.10
,Print statements,1,4,0,0,1,2016-02-04  01:27:22.10,2016-02-04  01:28:22.99
,Print statements,1,5,7,0,1,2016-02-04  01:28:22.99,2016-02-04  01:36:25.12
,Print statements,1,5,0,0,1,2016-02-04  01:36:25.90,2016-02-04  01:36:45.78
,Print statements,1,6,1,0,1,2016-02-04  01:36:45.78,2016-02-04  01:37:24.67
,Print statements,1,7,10,0,0,2016-02-04  01:37:24.67,2016-02-04  01:42:37.65
,Print statements,1,7,2,0,1,2016-02-04  01:42:49.16,2016-02-04  01:44:18.91
,For-loops - code reading,2,1,4,0,1,2016-02-04  01:44:58.27,2016-02-04  01:49:43.29
,For-loops - code reading,2,2,6,0,1,2016-02-04  01:49:43.29,2016-02-04  01:56:55.95
,For-loops - code reading,2,3,11,0,1,2016-02-04  01:56:55.95,2016-02-04  02:02:58.12
,For-loops - code reading,2,4,8,0,0,2016-02-04  02:02:58.12,2016-02-04  02:12:35.70
,Syntax errors,3,1,0,1,1,2016-02-04  02:12:36.33,2016-02-04  02:13:50.73
,Syntax errors,3,2,0,1,1,2016-02-04  02:13:50.73,2016-02-04  02:14:20.81
,Syntax errors,3,3,0,2,1,2016-02-04  02:14:21.46,2016-02-04  02:14:50.38
,Syntax errors,3,4,0,1,1,2016-02-04  02:15:06.44,2016-02-04  02:15:28.49
,Syntax errors,3,5,0,3,1,2016-02-04  02:15:28.49,2016-02-04  02:17:42.44
,Syntax errors,3,6,1,6,1,2016-02-04  02:17:42.44,2016-02-04  02:22:47.89
,Strings and casting,4,1,10,0,1,2016-02-04  02:22:48.14,2016-02-04  02:28:07.17
,Strings and casting,4,2,13,0,1,2016-02-04  02:28:07.18,2016-02-04  02:42:39.10
,Strings and casting,4,3,14,0,1,2016-02-04  02:42:39.10,2016-02-04  02:57:45.29
,Strings and casting,4,4,0,0,1,2016-02-04  02:57:45.29,2016-02-04  02:59:02.26
,Strings and casting,4,5,0,0,1,2016-02-04  02:59:02.26,2016-02-04  03:05:04.62
,Strings and casting,4,6,0,0,1,2016-02-04  03:05:04.62,2016-02-04  03:06:03.03
,For-loops - code writing,5,1,0,2,1,2016-02-04  03:06:03.35,2016-02-04  03:08:48.63
,For-loops - code writing,5,2,0,2,1,2016-02-04  03:08:48.63,2016-02-04  03:10:11.96
,For-loops - code writing,5,3,1,25,0,2016-02-04  03:10:11.96,2016-02-04  03:41:41.72
,For-loops - code writing,5,1,0,6,0,2016-02-04  06:32:04.02,2016-02-04  06:32:07.88
,For-loops - code writing,5,4,0,9,0,2016-02-04  06:32:07.88,2016-02-04  06:43:28.26
,For-loops - code writing,5,5,8,24,1,2016-02-04  06:43:28.27,2016-02-04  07:11:29.02
,For-loops - code writing,5,6,0,11,1,2016-02-04  07:11:29.02,2016-02-04  07:20:13.93
,For-loops - code writing,5,7,1,7,1,2016-02-04  07:20:13.93,2016-02-04  07:31:14.01
,For-loops - code writing,5,8,19,13,0,2016-02-04  07:31:14.01,2016-02-04  08:11:18.95
,For-loops - code writing,5,8,0,2,1,2016-02-04  08:12:27.29,2016-02-04  08:14:42.97
,Methods - code reading,6,1,0,0,1,2016-02-04  08:14:43.36,2016-02-04  08:15:33.88
,Methods - code reading,6,2,0,0,1,2016-02-04  08:15:33.88,2016-02-04  08:16:56.65
,Methods - code reading,6,3,0,0,1,2016-02-04  08:16:56.65,2016-02-04  08:18:42.14
,Methods - code reading,6,4,4,0,1,2016-02-04  08:18:42.14,2016-02-04  08:21:51.86
,Methods - code reading,6,5,3,0,1,2016-02-04  08:21:51.86,2016-02-04  08:24:14.78
,Methods - code reading,6,6,0,0,1,2016-02-04  08:24:14.78,2016-02-04  08:26:07.65
,Writing code: methods and for-loops,8,1,6,3,1,2016-02-04  08:26:08.18,2016-02-04  08:34:48.79
,Writing code: methods and for-loops,8,2,14,3,0,2016-02-04  08:34:48.79,2016-02-04  08:48:17.83
,Writing code: methods and for-loops,8,3,2,5,0,2016-02-04  08:57:49.33,2016-02-04  09:01:02.43
,Writing code: methods and for-loops,8,3,7,8,1,2016-02-04  09:01:10.90,2016-02-04  09:04:13.50
,Writing code: methods and for-loops,8,1,0,5,1,2016-02-04  09:04:13.50,2016-02-04  09:08:56.12
,For-loops - code writing,5,1,5,2,1,2016-02-04  09:08:57.76,2016-02-04  09:11:33.45
,For-loops - code writing,5,2,0,1,1,2016-02-04  09:11:33.45,2016-02-04  09:12:30.50
,Writing code: methods and for-loops,8,2,10,0,0,2016-02-04  09:27:50.48,2016-02-04  09:28:09.27
56a6b4ecc478dbdffc719095,29
,Print statements,1,1,4,0,1,2016-02-04  03:11:47.78,2016-02-04  03:17:58.81
,Print statements,1,2,1,0,1,2016-02-04  03:17:58.81,2016-02-04  03:22:01.61
,Print statements,1,3,3,0,1,2016-02-04  03:22:01.61,2016-02-04  03:30:15.72
,Print statements,1,4,0,0,1,2016-02-04  03:30:15.72,2016-02-04  03:31:48.56
,Print statements,1,5,7,0,1,2016-02-04  03:31:48.56,2016-02-04  03:43:05.07
,Print statements,1,7,14,0,1,2016-02-04  03:43:15.96,2016-02-04  03:54:09.36
,For-loops - code reading,2,1,5,0,1,2016-02-04  03:54:09.86,2016-02-04  04:01:34.82
,For-loops - code reading,2,2,9,0,1,2016-02-04  04:01:34.82,2016-02-04  04:22:49.24
,For-loops - code reading,2,3,7,0,0,2016-02-04  04:22:49.24,2016-02-04  04:58:48.51
,For-loops - code reading,2,4,12,0,1,2016-02-04  04:58:48.51,2016-02-04  05:20:46.96
,Syntax errors,3,1,0,1,0,2016-02-04  05:20:47.43,2016-02-04  05:21:16.03
,Syntax errors,3,2,0,1,0,2016-02-04  05:21:16.03,2016-02-04  05:21:48.79
,Syntax errors,3,3,0,2,0,2016-02-04  05:21:48.79,2016-02-04  05:22:23.06
,Syntax errors,3,2,0,1,0,2016-02-04  05:22:23.06,2016-02-04  05:22:35.22
,Syntax errors,3,3,1,2,0,2016-02-04  05:22:35.22,2016-02-04  05:23:22.47
,Syntax errors,3,4,0,1,0,2016-02-04  05:24:32.60,2016-02-04  05:24:49.65
,Syntax errors,3,5,0,2,0,2016-02-04  05:27:16.67,2016-02-04  05:27:40.31
,Syntax errors,3,6,0,1,0,2016-02-04  05:32:38.15,2016-02-04  05:34:08.95
,Strings and casting,4,1,7,0,1,2016-02-04  05:34:55.27,2016-02-04  06:04:07.10
,Strings and casting,4,2,3,0,0,2016-02-04  15:55:14.93,2016-02-04  15:59:49.99
,For-loops - code writing,5,1,5,4,0,2016-02-04  15:59:50.79,2016-02-04  16:04:31.03
,For-loops - code writing,5,2,3,1,0,2016-02-04  16:04:31.03,2016-02-04  16:06:17.00
,For-loops - code writing,5,3,5,5,0,2016-02-04  16:06:17.00,2016-02-04  16:10:48.66
,For-loops - code writing,5,4,6,12,0,2016-02-04  16:10:48.67,2016-02-04  16:21:33.57
,For-loops - code writing,5,5,9,11,0,2016-02-04  16:21:33.57,2016-02-04  16:37:59.73
,For-loops - code writing,5,6,5,0,0,2016-02-04  16:37:59.73,2016-02-04  16:39:17.25
,Writing code: methods and for-loops,8,1,9,0,0,2016-02-04  16:39:17.74,2016-02-04  16:40:18.47
,Writing code: methods and for-loops,8,1,7,0,0,2016-02-04  16:47:47.10,2016-02-04  17:22:41.02
,Methods - code reading,6,1,9,0,1,2016-02-04  17:22:41.67,2016-02-04  17:23:45.43
56a6b4fac478dbdffc7190b1,28
,Final Prep: Weeks 1-4,11,1,2,0,0,2016-04-11  01:55:26.86,2016-04-11  01:58:26.06
,I/O tracing and coding,10,1,27,2,0,2016-04-11  02:36:39.63,2016-04-11  03:01:04.72
,I/O tracing and coding,10,4,11,0,0,2016-04-11  03:01:18.27,2016-04-11  03:18:16.93
,Writing code: methods and for-loops,8,2,12,0,0,2016-04-11  15:00:28.49,2016-04-11  15:09:25.09
,Writing code: methods and for-loops,8,1,29,2,1,2016-04-11  16:02:01.55,2016-04-11  16:03:47.72
,Writing code: methods and for-loops,8,1,14,2,1,2016-04-11  16:05:35.38,2016-04-11  16:05:38.94
,I/O tracing and coding,10,1,11,6,0,2016-04-11  16:16:42.79,2016-04-11  16:28:42.81
,Arrays,9,1,9,0,0,2016-04-11  16:28:48.26,2016-04-11  16:34:57.88
,Final Prep: Weeks 1-4,11,1,0,0,0,2016-04-11  18:01:24.35,2016-04-11  18:02:35.32
,Final Prep: Weeks 1-4,11,1,0,0,0,2016-04-11  18:03:21.29,2016-04-11  18:03:33.09
,Final Prep: Weeks 1-4,11,2,0,0,0,2016-04-11  18:03:33.09,2016-04-11  18:05:12.42
,Final Prep: Weeks 10-13,13,1,10,0,1,2016-04-11  18:05:20.60,2016-04-11  18:11:17.24
,Final Prep: Weeks 1-4,11,1,7,2,0,2016-04-11  18:13:07.86,2016-04-11  18:13:10.61
,Arrays,9,2,10,1,1,2016-04-11  16:34:57.88,2016-04-11  18:22:27.37
,Final Prep: Weeks 10-13,13,2,0,1,0,2016-04-11  18:22:31.46,2016-04-11  18:23:15.33
,Final Prep: Weeks 10-13,13,3,8,0,1,2016-04-11  18:23:15.33,2016-04-11  18:30:37.72
,Final Prep: Weeks 10-13,13,4,7,1,1,2016-04-11  18:30:37.72,2016-04-11  18:51:05.14
,Final Prep: Weeks 5-9,12,4,9,0,0,2016-04-11  18:51:08.88,2016-04-11  18:53:44.58
,Final Prep: Weeks 5-9,12,4,0,8,0,2016-04-11  18:53:46.71,2016-04-11  19:26:19.53
,Final Prep: Weeks 5-9,12,1,10,0,0,2016-04-11  19:26:24.94,2016-04-11  19:34:43.52
,Syntax errors,3,1,0,1,1,2016-04-11  19:34:43.75,2016-04-11  19:35:11.22
,Syntax errors,3,1,0,6,0,2016-04-11  19:47:43.14,2016-04-11  19:47:48.17
,Syntax errors,3,6,0,1,1,2016-04-11  19:49:42.14,2016-04-11  19:51:39.17
,Strings and casting,4,1,11,0,1,2016-04-11  19:51:39.46,2016-04-11  19:56:24.82
,Strings and casting,4,6,1,0,1,2016-04-11  19:56:24.82,2016-04-11  20:03:46.45
,For-loops - code writing,5,8,8,3,0,2016-04-11  20:03:49.83,2016-04-11  20:12:02.03
