semester1,,,semester2,,,semester3,,,semester4,
userID,Final Exam,,userID,Final Exam,,userID,finalExam,,userID,finalExam
54db0c5b27541070e94159df,72.68292683,,,,,560dadb6b3d6aa670a1e13cb,74,,56a6b4f5c478dbdffc7190a7,80.94
54db0c6127541070e94159f8,72.68292683,,,,,560dad7eb3d6aa670a1e133a,74,,56a6b515c478dbdffc7190ea,81.22
54db0c5e27541070e94159e9,73.17073171,,,,,560dadcdb3d6aa670a1e1417,74,,56a6b4f2c478dbdffc7190a1,81.24
54db0c3727541070e941596e,73.65853659,,,,,560dad84b3d6aa670a1e1348,74,,56a6b511c478dbdffc7190e0,81.66
54db0c5f27541070e94159ee,73.75,,,,,560dad83b3d6aa670a1e1347,74,,56a6b523c478dbdffc719108,81.86
54db0c4b27541070e94159aa,74.375,,,,,560dadf6b3d6aa670a1e146b,75,,56a6b51ac478dbdffc7190f4,82.12
54db0c4227541070e9415994,74.87804878,,,,,560dadd5b3d6aa670a1e1429,75,,56a6b510c478dbdffc7190df,82.16
54db0c5a27541070e94159dc,75.625,,,,,560dada9b3d6aa670a1e13b1,75,,56a6b507c478dbdffc7190cd,83.08
54db0c6827541070e9415a2f,76.58536585,,,,,560dadc4b3d6aa670a1e13f8,75,,56a6b4e1c478dbdffc71907e,83.18
54db0c6427541070e9415a13,76.875,,,,,560dadd3b3d6aa670a1e1421,76,,56a6b527c478dbdffc71910e,83.5
54db0c4527541070e941599c,78.125,,,,,560dadd4b3d6aa670a1e1426,76,,56a6b52ac478dbdffc719114,83.52
54db0c4327541070e9415997,78.125,,,,,560dae01b3d6aa670a1e1475,76,,56a6b50dc478dbdffc7190da,83.54
54db0c5e27541070e94159e8,78.75,,,,,560dad9fb3d6aa670a1e1397,76,,56a6b524c478dbdffc719109,83.74
54db0c6727541070e9415a2d,79.51219512,,,,,560dae04b3d6aa670a1e147c,76,,56a6b4ebc478dbdffc719093,84.36
54db0c6227541070e9415a03,79.51219512,,,,,560dad9bb3d6aa670a1e1391,77,,56a6b519c478dbdffc7190f2,84.68
54db0c4a27541070e94159a8,79.51219512,,,,,560dadadb3d6aa670a1e13bb,77,,56a6b4fec478dbdffc7190ba,85.12
54db0c6427541070e9415a0e,80.625,,,,,560daddab3d6aa670a1e1438,78,,56a6b514c478dbdffc7190e7,85.42
54db0c5127541070e94159c0,81.25,,,,,560dad7ab3d6aa670a1e132d,78,,56a6b4fcc478dbdffc7190b7,85.46
54db0c6627541070e9415a27,81.46341463,,,,,560dad6fb3d6aa670a1e1313,78,,56a6b513c478dbdffc7190e4,85.58
54db0c6527541070e9415a19,81.70731707,,,,,560dadb5b3d6aa670a1e13ca,78,,56a6b4f9c478dbdffc7190af,85.62
54db0c6227541070e9415a01,82.5,,,,,560dadafb3d6aa670a1e13bf,79,,56a6b506c478dbdffc7190ca,86.36
54db0c3927541070e9415975,82.92682927,,,,,560dad8bb3d6aa670a1e135b,79,,56a6b4e3c478dbdffc719083,86.38
54db0c4b27541070e94159a9,84.375,,,,,560dad8bb3d6aa670a1e135e,79,,56a6b4efc478dbdffc71909c,86.74
54db0c3d27541070e9415983,85.85365854,,,,,560dadd0b3d6aa670a1e141f,79,,56a6b528c478dbdffc719110,87.12
54db0c4827541070e94159a3,86.875,,,,,563a6355df9a146aee5bb58c,79,,56a6b51fc478dbdffc7190ff,87.14
54db0c5127541070e94159bd,87.80487805,,,,,560dad78b3d6aa670a1e1329,80,,56a6b50cc478dbdffc7190d7,87.36
54db0c3b27541070e941597c,88.125,,,,,560dad80b3d6aa670a1e1341,80,,56a6b4fbc478dbdffc7190b4,87.6
54db0c3727541070e941596d,89.75609756,,,,,560dad7db3d6aa670a1e1338,80,,56a6b520c478dbdffc719103,87.66
54db0c6a27541070e9415a37,90,,,,,560dadd6b3d6aa670a1e142b,80,,56a6b4efc478dbdffc71909b,88.4
54db0c3927541070e9415976,90,,,,,560dadbfb3d6aa670a1e13e9,80,,56a6b51dc478dbdffc7190fa,88.4
54db0c4227541070e9415993,90,,,,,560dadc1b3d6aa670a1e13ef,80,,56a6b4e5c478dbdffc719086,88.46
54db0c5127541070e94159bf,91.25,,,,,560dadcbb3d6aa670a1e140f,81,,56a6b4ecc478dbdffc719094,88.56
54db0c5127541070e94159be,91.25,,,,,560dae03b3d6aa670a1e147b,81,,56a6b4ddc478dbdffc719075,88.66
54db0c5427541070e94159c7,91.25,,,,,560dad9ab3d6aa670a1e138b,81,,56a6b518c478dbdffc7190f1,88.72
54db0c6027541070e94159f4,91.875,,,,,560dada7b3d6aa670a1e13af,81,,56a6b4f8c478dbdffc7190ae,89.62
54db0c6027541070e94159f2,91.875,,,,,560dadd8b3d6aa670a1e1434,81,,56a6b4fbc478dbdffc7190b3,89.7
54db0c6527541070e9415a14,92.5,,,,,560dada3b3d6aa670a1e13a4,81,,56a6b4f2c478dbdffc7190a2,89.8
54db0c5227541070e94159c3,92.5,,,,,560dadc0b3d6aa670a1e13eb,82,,56a6b517c478dbdffc7190ef,89.9
54db0c5427541070e94159c9,92.5,,,,,560dadccb3d6aa670a1e1416,82,,56a6b525c478dbdffc71910c,89.92
54db0c5827541070e94159d4,93.75,,,,,560dadf5b3d6aa670a1e1467,82,,56a6b4fdc478dbdffc7190b9,90.2
54db0c5327541070e94159c4,93.75,,,,,560dadb4b3d6aa670a1e13c6,82,,56a6b4f3c478dbdffc7190a4,90.26
54db0c6a27541070e9415a39,95.12195122,,,,,560dada3b3d6aa670a1e13a5,82,,56a6b521c478dbdffc719105,90.62
54db0c5227541070e94159c1,95.6097561,,,,,560dadd9b3d6aa670a1e1437,83,,56a6b4e8c478dbdffc71908b,90.76
54db0c5927541070e94159d9,95.6097561,,,,,560dadc9b3d6aa670a1e140a,83,,56a6b4f6c478dbdffc7190aa,90.78
54db0c6127541070e94159fe,95.625,,,,,560dae05b3d6aa670a1e1482,83,,56afbedfc478dbdffc719613,90.9
54db0c4427541070e941599a,96.25,,,,,560dad89b3d6aa670a1e1358,83,,56a6b4eec478dbdffc719099,91.02
54db0c4327541070e9415995,96.25,,,,,560dad86b3d6aa670a1e1350,83,,56a6b520c478dbdffc719101,91.22
54db0c3d27541070e9415981,96.25,,,,,560dadbbb3d6aa670a1e13dc,83,,56a6b4f3c478dbdffc7190a5,91.52
54db0c4c27541070e94159ac,97.5,,,,,560dad85b3d6aa670a1e134c,84,,56a6b4f9c478dbdffc7190b0,91.58
54db0c3c27541070e941597e,97.5,,,,,560dae00b3d6aa670a1e1472,84,,56a6b51cc478dbdffc7190f9,91.66
54db0c6427541070e9415a0f,97.5,,,,,560dae05b3d6aa670a1e1480,84,,56a6b4d9c478dbdffc71906b,91.86
54db0c4c27541070e94159ae,100,,,,,560dadd8b3d6aa670a1e1432,84,,56a6b4f7c478dbdffc7190ab,91.9
,,,,,,560dadf3b3d6aa670a1e145c,84,,56a6b4f7c478dbdffc7190ac,92
,,,,,,560dadcfb3d6aa670a1e141e,84,,56a6b51fc478dbdffc719100,92.04
,,,,,,560dade1b3d6aa670a1e1441,85,,56a6b4ffc478dbdffc7190bc,92.1
,,,,,,560dad8db3d6aa670a1e1366,85,,56a6b4e2c478dbdffc71907f,92.28
,,,,,,560dade5b3d6aa670a1e144c,85,,56a6b523c478dbdffc719107,92.42
,,,,,,560dada4b3d6aa670a1e13a9,85,,56a6b4f0c478dbdffc71909e,92.46
,,,,,,560dadbeb3d6aa670a1e13e3,86,,56a6b501c478dbdffc7190c0,92.52
,,,,,,560dadefb3d6aa670a1e1458,86,,56a6b508c478dbdffc7190cf,92.52
,,,,,,560dad95b3d6aa670a1e137f,86,,56a6b515c478dbdffc7190e9,92.62
,,,,,,560dadc5b3d6aa670a1e13fc,86,,56a6b509c478dbdffc7190d0,92.66
,,,,,,560dadb4b3d6aa670a1e13c9,86,,56a6b50fc478dbdffc7190dd,92.86
,,,,,,560dadc7b3d6aa670a1e1400,86,,56a6b516c478dbdffc7190ed,93.08
,,,,,,560dad93b3d6aa670a1e137b,86,,56a6b4d9c478dbdffc71906a,93.12
,,,,,,560dadb8b3d6aa670a1e13d5,87,,56a6b4f1c478dbdffc71909f,93.54
,,,,,,560dad99b3d6aa670a1e1388,87,,56a6b51ec478dbdffc7190fe,93.94
,,,,,,560dadf2b3d6aa670a1e145b,87,,56a6b524c478dbdffc71910a,93.94
,,,,,,560dada2b3d6aa670a1e13a1,87,,56a6b517c478dbdffc7190ee,94.18
,,,,,,560dadbbb3d6aa670a1e13dd,87,,56a6b526c478dbdffc71910d,94.5
,,,,,,560dadb7b3d6aa670a1e13d0,87,,56a6b4edc478dbdffc719097,94.54
,,,,,,560dadccb3d6aa670a1e1415,88,,56a6b4dcc478dbdffc719072,94.62
,,,,,,560dad9db3d6aa670a1e1395,88,,56a6b519c478dbdffc7190f3,94.66
,,,,,,560dad95b3d6aa670a1e137e,88,,56a6b512c478dbdffc7190e2,95.02
,,,,,,560dadc9b3d6aa670a1e1409,89,,56a6b4e6c478dbdffc719087,95.2
,,,,,,560dada7b3d6aa670a1e13ae,89,,56a6b4e9c478dbdffc71908f,95.4
,,,,,,560dade3b3d6aa670a1e1446,89,,56a6b4f8c478dbdffc7190ad,95.5
,,,,,,560dada0b3d6aa670a1e139c,89,,56a6b506c478dbdffc7190cb,95.52
,,,,,,560dadcfb3d6aa670a1e141d,89,,56a6b4e4c478dbdffc719085,95.58
,,,,,,560dadbcb3d6aa670a1e13df,90,,56a6b510c478dbdffc7190de,95.98
,,,,,,560dade3b3d6aa670a1e1447,90,,56a6b51ec478dbdffc7190fd,96.08
,,,,,,560dade2b3d6aa670a1e1442,90,,56a6b4e0c478dbdffc71907c,96.08
,,,,,,560dad84b3d6aa670a1e1349,90,,56a6b500c478dbdffc7190be,96.14
,,,,,,560dadb0b3d6aa670a1e13c1,90,,56a6b51ac478dbdffc7190f5,96.32
,,,,,,560dadc1b3d6aa670a1e13f0,90,,56a6b4edc478dbdffc719096,96.4
,,,,,,560dad8db3d6aa670a1e1365,90,,56a6b500c478dbdffc7190bd,96.48
,,,,,,560dadb0b3d6aa670a1e13c3,90,,56a6b516c478dbdffc7190eb,96.52
,,,,,,560dadffb3d6aa670a1e1470,91,,56a6b4e0c478dbdffc71907b,96.64
,,,,,,560daddbb3d6aa670a1e143e,91,,56a6b505c478dbdffc7190c8,96.96
,,,,,,560dad9bb3d6aa670a1e138e,91,,56a6b513c478dbdffc7190e5,97
,,,,,,560dadaab3d6aa670a1e13b5,91,,56a6b4e8c478dbdffc71908c,97.26
,,,,,,560dadc6b3d6aa670a1e13fe,91,,56a6b4f4c478dbdffc7190a6,97.28
,,,,,,560dad7fb3d6aa670a1e133e,91,,56a6b4dcc478dbdffc719071,97.5
,,,,,,560dadb6b3d6aa670a1e13cd,91,,56a6b512c478dbdffc7190e3,97.8
,,,,,,560dadd5b3d6aa670a1e1428,91,,56a6b4dec478dbdffc719077,98.1
,,,,,,560dad8db3d6aa670a1e1363,92,,56a6b525c478dbdffc71910b,98.38
,,,,,,560dad8eb3d6aa670a1e136a,92,,56a6b4e4c478dbdffc719084,98.74
,,,,,,560dada4b3d6aa670a1e13a8,92,,56a6b4e3c478dbdffc719082,98.76
,,,,,,560dad7fb3d6aa670a1e133b,92,,56a6b4eec478dbdffc719098,98.8
,,,,,,560dad71b3d6aa670a1e1317,92,,56a6b527c478dbdffc71910f,99.04
,,,,,,560dae03b3d6aa670a1e1479,93,,56a6b4e8c478dbdffc71908d,99.12
,,,,,,560dadaab3d6aa670a1e13b4,93,,56a6b4eac478dbdffc719090,99.2
,,,,,,560dadf3b3d6aa670a1e145d,93,,56a6b503c478dbdffc7190c4,99.62
,,,,,,560dae04b3d6aa670a1e147d,93,,56a6b50cc478dbdffc7190d8,100
,,,,,,560dadc2b3d6aa670a1e13f2,93,,,
,,,,,,560dadf4b3d6aa670a1e1462,93,,,
,,,,,,560dadf4b3d6aa670a1e1461,93,,,
,,,,,,560dadd9b3d6aa670a1e1435,93,,,
,,,,,,560dadc1b3d6aa670a1e13f1,93,,,
,,,,,,560dad96b3d6aa670a1e1383,93,,,
,,,,,,560dad88b3d6aa670a1e1356,93,,,
,,,,,,560dad7bb3d6aa670a1e132f,93,,,
,,,,,,560dad81b3d6aa670a1e1343,94,,,
,,,,,,560dada5b3d6aa670a1e13ab,94,,,
,,,,,,560dadaab3d6aa670a1e13b6,94,,,
,,,,,,560dadc2b3d6aa670a1e13f3,94,,,
,,,,,,560dad84b3d6aa670a1e134a,94,,,
,,,,,,560dadcab3d6aa670a1e140d,94,,,
,,,,,,560dadbbb3d6aa670a1e13db,94,,,
,,,,,,560dad7bb3d6aa670a1e1330,94,,,
,,,,,,560dad92b3d6aa670a1e1379,94,,,
,,,,,,560dadb3b3d6aa670a1e13c5,94,,,
,,,,,,560dadf5b3d6aa670a1e1466,94,,,
,,,,,,560dad77b3d6aa670a1e1327,94,,,
,,,,,,560dad8fb3d6aa670a1e136e,95,,,
,,,,,,560dade4b3d6aa670a1e144b,95,,,
,,,,,,560dad97b3d6aa670a1e1384,95,,,
,,,,,,560dadb6b3d6aa670a1e13cc,95,,,
,,,,,,560dad87b3d6aa670a1e1351,95,,,
,,,,,,560dadf7b3d6aa670a1e146d,95,,,
,,,,,,560dadcdb3d6aa670a1e141a,95,,,
,,,,,,560dadeeb3d6aa670a1e1453,95,,,
,,,,,,560dadefb3d6aa670a1e1457,96,,,
,,,,,,560daddab3d6aa670a1e143a,96,,,
,,,,,,560daddab3d6aa670a1e1439,96,,,
,,,,,,560dadd7b3d6aa670a1e142e,96,,,
,,,,,,560dadb8b3d6aa670a1e13d2,96,,,
,,,,,,560dad7cb3d6aa670a1e1334,96,,,
,,,,,,560dad7ab3d6aa670a1e132e,96,,,
,,,,,,560dad89b3d6aa670a1e1357,96,,,
,,,,,,560dae03b3d6aa670a1e147a,96,,,
,,,,,,560dad91b3d6aa670a1e1373,96,,,
,,,,,,560dadb7b3d6aa670a1e13ce,96,,,
,,,,,,560dadc3b3d6aa670a1e13f6,96,,,
,,,,,,560dadd3b3d6aa670a1e1422,96,,,
,,,,,,560dae02b3d6aa670a1e1476,96,,,
,,,,,,560dad9eb3d6aa670a1e1396,96,,,
,,,,,,560dadf5b3d6aa670a1e1465,96,,,
,,,,,,560dadcfb3d6aa670a1e141b,96,,,
,,,,,,560dadc4b3d6aa670a1e13f9,97,,,
,,,,,,560dadcbb3d6aa670a1e1412,97,,,
,,,,,,560dad74b3d6aa670a1e1321,97,,,
,,,,,,560dadb8b3d6aa670a1e13d3,97,,,
,,,,,,560dad9fb3d6aa670a1e1398,97,,,
,,,,,,560dadcdb3d6aa670a1e1419,97,,,
,,,,,,560dadffb3d6aa670a1e1471,97,,,
,,,,,,5616e7ef69699aaca6cf049b,97,,,
,,,,,,560dade4b3d6aa670a1e144a,97,,,
,,,,,,560dad90b3d6aa670a1e1370,98,,,
,,,,,,560dad7ab3d6aa670a1e132c,98,,,
,,,,,,560dadb9b3d6aa670a1e13d6,98,,,
,,,,,,560dad91b3d6aa670a1e1374,98,,,
,,,,,,560dadbab3d6aa670a1e13d9,98,,,
,,,,,,560dad75b3d6aa670a1e1323,98,,,
,,,,,,560dad73b3d6aa670a1e131e,98,,,
,,,,,,560dad78b3d6aa670a1e1328,98,,,
,,,,,,560dad7bb3d6aa670a1e1331,98,,,
,,,,,,560dad95b3d6aa670a1e1381,98,,,
,,,,,,560dadc8b3d6aa670a1e1403,98,,,
,,,,,,560dad8db3d6aa670a1e1364,98,,,
,,,,,,560dadefb3d6aa670a1e1456,98,,,
,,,,,,560dadbcb3d6aa670a1e13e1,98,,,
,,,,,,560dad92b3d6aa670a1e137a,98,,,
,,,,,,560dad90b3d6aa670a1e136f,98,,,
,,,,,,560dad92b3d6aa670a1e1377,98,,,
,,,,,,560dad8bb3d6aa670a1e135c,98,,,
,,,,,,560dadeeb3d6aa670a1e1452,98,,,
,,,,,,560dadb7b3d6aa670a1e13cf,98,,,
,,,,,,560dadd4b3d6aa670a1e1425,99,,,
,,,,,,560dade4b3d6aa670a1e1449,99,,,
,,,,,,560dad95b3d6aa670a1e1380,99,,,
,,,,,,560dad88b3d6aa670a1e1353,99,,,
,,,,,,560dad75b3d6aa670a1e1322,99,,,
,,,,,,560dad88b3d6aa670a1e1355,99,,,
,,,,,,560dadaab3d6aa670a1e13b7,99,,,
,,,,,,560dad72b3d6aa670a1e131a,100,,,
